lon,lat,FIV3(0.1)-0.02,FIV3(0.1)-0.1,FIV3(1.0)-0.02,FIV3(1.0)-0.1
-122.00225,37.34712,4.732916E+01,2.994018E+01,2.681612E+02,1.595385E+02
-122.00219,37.35611,4.594223E+01,2.947870E+01,2.708751E+02,1.634148E+02
-122.00213,37.36510,4.657244E+01,3.036659E+01,2.483013E+02,1.532688E+02
-122.00207,37.37409,4.497898E+01,2.945965E+01,2.698728E+02,1.593852E+02
-122.00201,37.38309,4.510157E+01,3.025934E+01,2.656050E+02,1.532357E+02
-122.00195,37.39208,4.827542E+01,3.092076E+01,2.718924E+02,1.630026E+02
-122.00189,37.40107,4.817027E+01,3.031224E+01,2.560273E+02,1.629049E+02
-122.00183,37.41007,4.910542E+01,3.165692E+01,2.630173E+02,1.673385E+02
-122.00177,37.41906,4.629080E+01,3.092509E+01,2.374118E+02,1.594861E+02
-122.00171,37.42805,4.992742E+01,3.127731E+01,2.577363E+02,1.568189E+02
-122.00165,37.43705,4.910542E+01,3.165692E+01,2.672843E+02,1.695398E+02
-122.00159,37.44604,5.162411E+01,3.309628E+01,2.740855E+02,1.628428E+02
-122.00153,37.45503,5.197136E+01,3.397339E+01,2.798626E+02,1.696785E+02
-122.00147,37.46403,5.388323E+01,3.450965E+01,3.027192E+02,1.788433E+02
-122.00141,37.47302,5.680637E+01,3.540513E+01,3.429094E+02,1.934547E+02
-122.00135,37.48201,5.533852E+01,3.564030E+01,3.199257E+02,1.904180E+02
-122.00129,37.49101,5.586302E+01,3.713080E+01,3.068042E+02,1.831993E+02
-122.00123,37.50000,7.390979E+01,4.209541E+01,3.503094E+02,1.999466E+02
