# source_model_tree_path=('ltbrTrueMean',), gsim_tree_path=('b1',), investigation_time=50.0
lon,lat,FIV3(0.1)-0.02,FIV3(0.1)-0.1,FIV3(0.2)-0.02,FIV3(0.2)-0.1,FIV3(0.3)-0.02,FIV3(0.3)-0.1,FIV3(0.4)-0.02,FIV3(0.4)-0.1,FIV3(0.5)-0.02,FIV3(0.5)-0.1,FIV3(0.6)-0.02,FIV3(0.6)-0.1,FIV3(0.7)-0.02,FIV3(0.7)-0.1,FIV3(0.8)-0.02,FIV3(0.8)-0.1,FIV3(0.9)-0.02,FIV3(0.9)-0.1,FIV3(1.0)-0.02,FIV3(1.0)-0.1,FIV3(1.1)-0.02,FIV3(1.1)-0.1,FIV3(1.2)-0.02,FIV3(1.2)-0.1,FIV3(1.3)-0.02,FIV3(1.3)-0.1,FIV3(1.4)-0.02,FIV3(1.4)-0.1,FIV3(1.5)-0.02,FIV3(1.5)-0.1,FIV3(1.6)-0.02,FIV3(1.6)-0.1,FIV3(1.7)-0.02,FIV3(1.7)-0.1,FIV3(1.8)-0.02,FIV3(1.8)-0.1,FIV3(1.9)-0.02,FIV3(1.9)-0.1,FIV3(2.0)-0.02,FIV3(2.0)-0.1,FIV3(2.1)-0.02,FIV3(2.1)-0.1,FIV3(2.2)-0.02,FIV3(2.2)-0.1,FIV3(2.3)-0.02,FIV3(2.3)-0.1,FIV3(2.4)-0.02,FIV3(2.4)-0.1,FIV3(2.5)-0.02,FIV3(2.5)-0.1,FIV3(2.6)-0.02,FIV3(2.6)-0.1,FIV3(2.7)-0.02,FIV3(2.7)-0.1,FIV3(2.8)-0.02,FIV3(2.8)-0.1,FIV3(2.9)-0.02,FIV3(2.9)-0.1,FIV3(3.0)-0.02,FIV3(3.0)-0.1
-122.64335,37.46041,3.492182E+01,2.011503E+01,6.130896E+01,3.520879E+01,8.984731E+01,5.250596E+01,1.156718E+02,6.396934E+01,1.306196E+02,7.511351E+01,1.517434E+02,8.546835E+01,1.679728E+02,9.341205E+01,1.664266E+02,9.422014E+01,1.893108E+02,1.042088E+02,1.877942E+02,1.069012E+02,2.012972E+02,1.089850E+02,2.199494E+02,1.153963E+02,2.304010E+02,1.227821E+02,2.431345E+02,1.279646E+02,2.453706E+02,1.293005E+02,2.384023E+02,1.253389E+02,2.470659E+02,1.307115E+02,2.653185E+02,1.359021E+02,2.480930E+02,1.322816E+02,2.679123E+02,1.338093E+02,2.618002E+02,1.375238E+02,2.669526E+02,1.396142E+02,2.552490E+02,1.396953E+02,2.695777E+02,1.378080E+02,2.579719E+02,1.355253E+02,2.612725E+02,1.360816E+02,2.676642E+02,1.435485E+02,2.677257E+02,1.393319E+02,2.559316E+02,1.362933E+02,2.572561E+02,1.338572E+02
-122.64332,37.50537,3.753068E+01,2.111891E+01,6.782069E+01,3.853947E+01,9.425738E+01,5.352722E+01,1.190459E+02,6.792551E+01,1.418686E+02,8.074434E+01,1.586493E+02,8.896981E+01,1.798770E+02,9.603172E+01,1.882949E+02,1.026686E+02,2.023438E+02,1.098766E+02,2.062764E+02,1.138498E+02,2.098381E+02,1.164949E+02,2.307643E+02,1.235038E+02,2.417251E+02,1.325390E+02,2.482333E+02,1.347940E+02,2.547393E+02,1.377701E+02,2.712543E+02,1.322032E+02,2.773441E+02,1.383191E+02,2.819119E+02,1.423079E+02,2.735415E+02,1.425002E+02,2.838086E+02,1.430652E+02,2.910821E+02,1.458192E+02,2.903427E+02,1.471596E+02,2.668939E+02,1.452086E+02,2.841220E+02,1.422678E+02,2.868470E+02,1.501582E+02,2.886816E+02,1.465459E+02,2.807911E+02,1.471036E+02,2.971510E+02,1.465021E+02,2.748100E+02,1.476651E+02,2.951462E+02,1.477927E+02
-122.64328,37.55034,3.896763E+01,2.258949E+01,6.973746E+01,4.006670E+01,1.009166E+02,5.774853E+01,1.254705E+02,7.116261E+01,1.495908E+02,8.278580E+01,1.726504E+02,9.593375E+01,1.843914E+02,1.029419E+02,1.974947E+02,1.087720E+02,2.123440E+02,1.131618E+02,2.267673E+02,1.209762E+02,2.258024E+02,1.244065E+02,2.569143E+02,1.324290E+02,2.615507E+02,1.387772E+02,2.829437E+02,1.424374E+02,2.852386E+02,1.440616E+02,2.836335E+02,1.458450E+02,3.000084E+02,1.518881E+02,3.099575E+02,1.530621E+02,2.977951E+02,1.569861E+02,2.984070E+02,1.558337E+02,3.160978E+02,1.570937E+02,3.116608E+02,1.598638E+02,2.966316E+02,1.543862E+02,3.225055E+02,1.573602E+02,3.093191E+02,1.578475E+02,3.122648E+02,1.601606E+02,3.136104E+02,1.563865E+02,3.203089E+02,1.581512E+02,2.997204E+02,1.603063E+02,3.075765E+02,1.541696E+02
-122.64325,37.59531,4.383128E+01,2.484172E+01,7.942148E+01,4.409581E+01,1.081494E+02,6.195340E+01,1.396969E+02,7.785639E+01,1.624943E+02,9.139419E+01,1.875829E+02,1.035545E+02,2.063701E+02,1.133930E+02,2.134270E+02,1.162791E+02,2.380635E+02,1.247856E+02,2.675656E+02,1.323902E+02,2.679007E+02,1.357291E+02,2.752157E+02,1.447176E+02,3.058920E+02,1.526576E+02,3.108185E+02,1.544825E+02,3.199845E+02,1.566183E+02,3.266374E+02,1.608976E+02,3.317245E+02,1.590251E+02,3.421441E+02,1.703094E+02,3.335504E+02,1.710707E+02,3.542662E+02,1.726034E+02,3.715597E+02,1.757506E+02,3.374872E+02,1.741526E+02,3.533174E+02,1.781389E+02,3.520772E+02,1.737883E+02,3.579729E+02,1.774955E+02,3.408161E+02,1.720264E+02,3.564307E+02,1.789273E+02,3.713173E+02,1.771220E+02,3.414636E+02,1.724571E+02,3.465930E+02,1.766329E+02
-122.64321,37.64027,4.872208E+01,2.622486E+01,8.461769E+01,4.762628E+01,1.257605E+02,6.926612E+01,1.517325E+02,8.289613E+01,1.902534E+02,1.025815E+02,2.036081E+02,1.114589E+02,2.329035E+02,1.185658E+02,2.561225E+02,1.269820E+02,2.652875E+02,1.366911E+02,2.958324E+02,1.464236E+02,2.920661E+02,1.465003E+02,3.339402E+02,1.613392E+02,3.416876E+02,1.681258E+02,3.531053E+02,1.729350E+02,3.605680E+02,1.802638E+02,3.667240E+02,1.778436E+02,3.761283E+02,1.838950E+02,3.999950E+02,1.925006E+02,3.991586E+02,1.949412E+02,3.837439E+02,1.944421E+02,3.963916E+02,1.950160E+02,3.944901E+02,1.935577E+02,3.868938E+02,1.923780E+02,3.896446E+02,1.943285E+02,3.895528E+02,1.905908E+02,3.923840E+02,1.920740E+02,4.131355E+02,2.006953E+02,4.176837E+02,2.016290E+02,3.813726E+02,1.943984E+02,3.970310E+02,1.935283E+02
-122.64318,37.68524,5.458637E+01,2.998624E+01,9.864046E+01,5.119011E+01,1.396323E+02,7.409697E+01,1.737691E+02,9.365345E+01,2.087774E+02,1.107577E+02,2.414790E+02,1.248700E+02,2.595190E+02,1.363795E+02,2.798125E+02,1.445694E+02,2.975085E+02,1.527949E+02,3.372603E+02,1.632390E+02,3.405993E+02,1.711842E+02,3.729477E+02,1.814128E+02,3.927173E+02,1.900916E+02,4.106070E+02,1.972207E+02,4.333489E+02,2.008435E+02,4.310881E+02,2.043113E+02,4.315963E+02,2.061877E+02,4.652336E+02,2.142768E+02,4.437097E+02,2.160679E+02,4.806843E+02,2.211367E+02,4.585414E+02,2.217871E+02,4.467523E+02,2.314266E+02,4.423154E+02,2.210256E+02,4.686182E+02,2.196193E+02,4.792744E+02,2.256769E+02,4.576977E+02,2.170675E+02,4.609270E+02,2.347147E+02,4.671706E+02,2.279380E+02,4.552462E+02,2.236311E+02,4.478933E+02,2.156029E+02
-122.64315,37.73020,6.251002E+01,3.319002E+01,1.138397E+02,5.925553E+01,1.540517E+02,8.571943E+01,2.034818E+02,1.045696E+02,2.456351E+02,1.248594E+02,2.740230E+02,1.392747E+02,3.062833E+02,1.527126E+02,3.412621E+02,1.620611E+02,3.439303E+02,1.711606E+02,3.834967E+02,1.913378E+02,3.959507E+02,1.900507E+02,4.344650E+02,2.056906E+02,4.535158E+02,2.191571E+02,4.940757E+02,2.306301E+02,4.894125E+02,2.341975E+02,5.052438E+02,2.390937E+02,5.041030E+02,2.401895E+02,5.687257E+02,2.570379E+02,5.111581E+02,2.524041E+02,5.285442E+02,2.561640E+02,5.342298E+02,2.555777E+02,5.459731E+02,2.588411E+02,5.508663E+02,2.557562E+02,5.669676E+02,2.542313E+02,5.376847E+02,2.566162E+02,5.519605E+02,2.569060E+02,5.449470E+02,2.504830E+02,5.676520E+02,2.617201E+02,5.411239E+02,2.589932E+02,5.242317E+02,2.517869E+02
-122.64311,37.77517,6.839539E+01,3.716328E+01,1.305431E+02,7.113615E+01,1.854413E+02,9.954264E+01,2.286558E+02,1.197672E+02,2.732931E+02,1.417486E+02,3.271015E+02,1.605035E+02,3.612921E+02,1.800479E+02,3.618149E+02,1.832602E+02,4.142116E+02,2.046994E+02,4.416828E+02,2.191978E+02,4.679749E+02,2.195683E+02,5.038026E+02,2.431562E+02,5.526310E+02,2.629171E+02,6.009235E+02,2.705859E+02,5.651719E+02,2.804121E+02,5.970221E+02,2.870217E+02,6.003853E+02,2.844119E+02,6.439288E+02,2.955778E+02,6.156682E+02,2.990608E+02,6.242766E+02,2.970756E+02,6.714936E+02,3.036773E+02,6.570313E+02,3.065965E+02,6.199815E+02,3.011248E+02,6.420100E+02,3.001681E+02,6.497091E+02,3.052510E+02,6.431506E+02,2.996662E+02,6.700989E+02,3.017926E+02,6.462906E+02,2.976794E+02,6.344414E+02,3.006771E+02,6.474691E+02,3.027106E+02
-122.64308,37.82014,8.164297E+01,4.253347E+01,1.456847E+02,7.787962E+01,2.067632E+02,1.092739E+02,2.730127E+02,1.381758E+02,3.309161E+02,1.671664E+02,3.795751E+02,1.917309E+02,4.235706E+02,2.021032E+02,4.445801E+02,2.172372E+02,4.917255E+02,2.362655E+02,5.423802E+02,2.527774E+02,5.822660E+02,2.572397E+02,5.874654E+02,2.886802E+02,6.667563E+02,3.032614E+02,7.011782E+02,3.127612E+02,6.853902E+02,3.089247E+02,6.892864E+02,3.278181E+02,7.214700E+02,3.279245E+02,7.253359E+02,3.477258E+02,7.441905E+02,3.411535E+02,7.606015E+02,3.539785E+02,7.682813E+02,3.546725E+02,7.621512E+02,3.408550E+02,7.427525E+02,3.636887E+02,7.808687E+02,3.602830E+02,7.600792E+02,3.579382E+02,7.866115E+02,3.553999E+02,7.409039E+02,3.497552E+02,7.519021E+02,3.502250E+02,7.534170E+02,3.525311E+02,7.366536E+02,3.428473E+02
-122.64304,37.86510,8.548240E+01,4.604981E+01,1.526002E+02,8.142082E+01,2.242423E+02,1.128689E+02,2.838932E+02,1.444037E+02,3.459938E+02,1.760962E+02,4.009109E+02,1.998276E+02,4.324203E+02,2.213316E+02,4.805993E+02,2.315714E+02,5.136618E+02,2.544791E+02,5.627158E+02,2.761767E+02,6.086709E+02,2.816598E+02,6.613439E+02,2.980646E+02,6.975714E+02,3.187511E+02,7.319831E+02,3.387395E+02,7.490531E+02,3.351442E+02,7.498230E+02,3.476498E+02,7.773889E+02,3.509241E+02,8.117982E+02,3.665983E+02,7.926446E+02,3.799575E+02,8.224896E+02,3.707935E+02,8.407183E+02,3.667018E+02,8.001700E+02,3.597881E+02,8.047873E+02,3.765318E+02,8.260465E+02,3.725710E+02,8.386817E+02,3.699851E+02,8.009410E+02,3.783214E+02,8.176811E+02,3.661548E+02,8.048865E+02,3.764662E+02,7.947215E+02,3.712077E+02,7.800769E+02,3.557067E+02
